Hero,Pick Rate,Win Rate,KDA
Ana,7.98,49.05,4.51
Mercy,7.75,51.01,4.06
Moira,4.58,50.75,6.13
Cassidy,4.14,48.55,2.85
D.Va,3.56,51.39,6.35
Zenyatta,3.40,53.66,5.37
Soldier: 76,3.36,49.84,3.23
Kiriko,3.28,47.51,4.91
Genji,3.24,51.09,2.61
Reinhardt,3.19,53.93,3.05
Zarya,2.89,50.81,4.76
Ashe,2.85,51.06,3.49
Hanzo,2.84,48.51,3.28
Roadhog,2.61,48.88,4.26
Widowmaker,2.57,47.76,2.66
Juno,2.48,50.35,4.80
Junkrat,2.47,50.45,2.78
Lúcio,2.46,54.16,3.80
Lifeweaver,2.24,47.79,5.62
Orisa,2.01,48.89,4.28
Tracer,1.87,49.45,2.99
Sombra,1.86,47.43,3.32
Pharah,1.84,52.96,2.97
Mei,1.81,52.20,3.70
Reaper,1.80,52.99,3.08
Sojourn,1.77,48.47,3.12
Baptiste,1.56,47.44,4.19
Winston,1.48,51.11,4.03
Bastion,1.38,50.30,3.25
Brigitte,1.33,53.60,4.16
Illari,1.33,53.39,4.01
Sigma,1.30,50.95,4.65
Torbjörn,1.25,56.40,3.49
Symmetra,1.23,57.10,3.82
Wrecking Ball,1.19,52.64,4.55
Junker Queen,1.18,52.75,5.49
Doomfist,1.14,48.87,3.45
Ramattra,1.08,51.33,4.47
Venture,0.87,55.12,2.83
Echo,0.76,48.27,2.53
Mauga,0.54,50.79,4.86
